model,model_key,component,sample_size,folds,raw_negative_predictions,validation_predictions,raw_nonnegativity_violation_percent_mean,raw_nonnegativity_violation_percent_sample_sd
PLS,pls_regressor,S_O,10000,5,1491,10000,14.91,0.6338375186118282
PLS,pls_regressor,S_F,10000,5,2,10000,0.02,0.027386127875258306
PLS,pls_regressor,S_A,10000,5,2643,10000,26.43,1.465690963334359
PLS,pls_regressor,S_NH4,10000,5,1454,10000,14.540000000000001,1.2764207770167328
PLS,pls_regressor,S_NO2,10000,5,702,10000,7.0200000000000005,0.7421253263431995
PLS,pls_regressor,S_NO3,10000,5,1373,10000,13.73,0.8445412956155547
PLS,pls_regressor,S_N2,10000,5,337,10000,3.37,0.4162331077653483
PLS,pls_regressor,S_PO4,10000,5,364,10000,3.6399999999999997,0.4865696250281145
PLS,pls_regressor,S_I,10000,5,4,10000,0.04,0.041833001326703784
PLS,pls_regressor,S_ALK,10000,5,0,10000,0.0,0.0
PLS,pls_regressor,X_I,10000,5,0,10000,0.0,0.0
PLS,pls_regressor,X_S,10000,5,1116,10000,11.16,0.9323357764239241
PLS,pls_regressor,X_H,10000,5,0,10000,0.0,0.0
PLS,pls_regressor,X_PAO,10000,5,9,10000,0.09,0.022360679774997897
PLS,pls_regressor,X_PP,10000,5,52,10000,0.52,0.1753567791675018
PLS,pls_regressor,X_PHA,10000,5,590,10000,5.9,0.387298334620742
PLS,pls_regressor,X_AOB,10000,5,9,10000,0.09,0.04183300132670378
PLS,pls_regressor,X_NOB,10000,5,0,10000,0.0,0.0
PLS,pls_regressor,X_MeP,10000,5,0,10000,0.0,0.0
PLS,pls_regressor,X_MeOH,10000,5,685,10000,6.85,1.1113055385446438
Multi-task Elastic Net,multitask_elastic_net_regressor,S_O,10000,5,1585,10000,15.85,0.7416198487095667
Multi-task Elastic Net,multitask_elastic_net_regressor,S_F,10000,5,560,10000,5.6,0.755810822891549
Multi-task Elastic Net,multitask_elastic_net_regressor,S_A,10000,5,2784,10000,27.839999999999996,1.1828989813166644
Multi-task Elastic Net,multitask_elastic_net_regressor,S_NH4,10000,5,1837,10000,18.369999999999997,0.7718484307168088
Multi-task Elastic Net,multitask_elastic_net_regressor,S_NO2,10000,5,1100,10000,11.0,0.8710625695092175
Multi-task Elastic Net,multitask_elastic_net_regressor,S_NO3,10000,5,1486,10000,14.86,1.0561723344227498
Multi-task Elastic Net,multitask_elastic_net_regressor,S_N2,10000,5,515,10000,5.15,0.3758324094593228
Multi-task Elastic Net,multitask_elastic_net_regressor,S_PO4,10000,5,563,10000,5.63,0.5837379549078512
Multi-task Elastic Net,multitask_elastic_net_regressor,S_I,10000,5,0,10000,0.0,0.0
Multi-task Elastic Net,multitask_elastic_net_regressor,S_ALK,10000,5,0,10000,0.0,0.0
Multi-task Elastic Net,multitask_elastic_net_regressor,X_I,10000,5,0,10000,0.0,0.0
Multi-task Elastic Net,multitask_elastic_net_regressor,X_S,10000,5,1474,10000,14.74,1.1132160616879363
Multi-task Elastic Net,multitask_elastic_net_regressor,X_H,10000,5,0,10000,0.0,0.0
Multi-task Elastic Net,multitask_elastic_net_regressor,X_PAO,10000,5,0,10000,0.0,0.0
Multi-task Elastic Net,multitask_elastic_net_regressor,X_PP,10000,5,222,10000,2.2199999999999998,0.38665229858362393
Multi-task Elastic Net,multitask_elastic_net_regressor,X_PHA,10000,5,985,10000,9.85,0.9440603794249603
Multi-task Elastic Net,multitask_elastic_net_regressor,X_AOB,10000,5,29,10000,0.29,0.11937336386313324
Multi-task Elastic Net,multitask_elastic_net_regressor,X_NOB,10000,5,9,10000,0.09,0.0651920240520265
Multi-task Elastic Net,multitask_elastic_net_regressor,X_MeP,10000,5,76,10000,0.76,0.2678619047195775
Multi-task Elastic Net,multitask_elastic_net_regressor,X_MeOH,10000,5,1308,10000,13.080000000000002,0.608892437134836
Multi-task Lasso,multitask_lasso_regressor,S_O,10000,5,1585,10000,15.85,0.7416198487095667
Multi-task Lasso,multitask_lasso_regressor,S_F,10000,5,559,10000,5.59,0.7659960835409018
Multi-task Lasso,multitask_lasso_regressor,S_A,10000,5,2784,10000,27.839999999999996,1.1828989813166644
Multi-task Lasso,multitask_lasso_regressor,S_NH4,10000,5,1837,10000,18.369999999999997,0.7718484307168088
Multi-task Lasso,multitask_lasso_regressor,S_NO2,10000,5,1098,10000,10.98,0.8934483756770726
Multi-task Lasso,multitask_lasso_regressor,S_NO3,10000,5,1486,10000,14.86,1.0561723344227498
Multi-task Lasso,multitask_lasso_regressor,S_N2,10000,5,514,10000,5.14,0.38307962618755914
Multi-task Lasso,multitask_lasso_regressor,S_PO4,10000,5,562,10000,5.62,0.572931060425249
Multi-task Lasso,multitask_lasso_regressor,S_I,10000,5,0,10000,0.0,0.0
Multi-task Lasso,multitask_lasso_regressor,S_ALK,10000,5,0,10000,0.0,0.0
Multi-task Lasso,multitask_lasso_regressor,X_I,10000,5,0,10000,0.0,0.0
Multi-task Lasso,multitask_lasso_regressor,X_S,10000,5,1474,10000,14.74,1.09052739534594
Multi-task Lasso,multitask_lasso_regressor,X_H,10000,5,0,10000,0.0,0.0
Multi-task Lasso,multitask_lasso_regressor,X_PAO,10000,5,0,10000,0.0,0.0
Multi-task Lasso,multitask_lasso_regressor,X_PP,10000,5,221,10000,2.21,0.38955102361564903
Multi-task Lasso,multitask_lasso_regressor,X_PHA,10000,5,985,10000,9.85,0.9440603794249603
Multi-task Lasso,multitask_lasso_regressor,X_AOB,10000,5,29,10000,0.29,0.11937336386313324
Multi-task Lasso,multitask_lasso_regressor,X_NOB,10000,5,9,10000,0.09,0.0651920240520265
Multi-task Lasso,multitask_lasso_regressor,X_MeP,10000,5,75,10000,0.75,0.2783882181415011
Multi-task Lasso,multitask_lasso_regressor,X_MeOH,10000,5,1308,10000,13.080000000000002,0.608892437134836
MLP,ann_deep_regressor,S_O,10000,5,142,10000,1.42,0.6870225614927067
MLP,ann_deep_regressor,S_F,10000,5,115,10000,1.15,0.2549509756796392
MLP,ann_deep_regressor,S_A,10000,5,2309,10000,23.09,9.41822700936859
MLP,ann_deep_regressor,S_NH4,10000,5,1020,10000,10.2,3.444379479674097
MLP,ann_deep_regressor,S_NO2,10000,5,1638,10000,16.380000000000003,5.293462949714487
MLP,ann_deep_regressor,S_NO3,10000,5,1438,10000,14.38,2.753543171987685
MLP,ann_deep_regressor,S_N2,10000,5,223,10000,2.23,0.6582172893505608
MLP,ann_deep_regressor,S_PO4,10000,5,323,10000,3.2299999999999995,0.7521635460456725
MLP,ann_deep_regressor,S_I,10000,5,0,10000,0.0,0.0
MLP,ann_deep_regressor,S_ALK,10000,5,0,10000,0.0,0.0
MLP,ann_deep_regressor,X_I,10000,5,0,10000,0.0,0.0
MLP,ann_deep_regressor,X_S,10000,5,3,10000,0.030000000000000006,0.0447213595499958
MLP,ann_deep_regressor,X_H,10000,5,0,10000,0.0,0.0
MLP,ann_deep_regressor,X_PAO,10000,5,0,10000,0.0,0.0
MLP,ann_deep_regressor,X_PP,10000,5,492,10000,4.92,1.2661950876543473
MLP,ann_deep_regressor,X_PHA,10000,5,782,10000,7.82,2.9513979738422265
MLP,ann_deep_regressor,X_AOB,10000,5,0,10000,0.0,0.0
MLP,ann_deep_regressor,X_NOB,10000,5,1,10000,0.01,0.0223606797749979
MLP,ann_deep_regressor,X_MeP,10000,5,23,10000,0.22999999999999998,0.16807736313971613
MLP,ann_deep_regressor,X_MeOH,10000,5,257,10000,2.5700000000000003,1.303648725692623
TabNet,tabnet_regressor,S_O,10000,5,461,10000,4.61,4.301075446908598
TabNet,tabnet_regressor,S_F,10000,5,220,10000,2.2,2.2888315796493197
TabNet,tabnet_regressor,S_A,10000,5,2402,10000,24.02,12.912619796152908
TabNet,tabnet_regressor,S_NH4,10000,5,1145,10000,11.45,9.7315851740608
TabNet,tabnet_regressor,S_NO2,10000,5,1306,10000,13.059999999999999,6.05603005276559
TabNet,tabnet_regressor,S_NO3,10000,5,1024,10000,10.24,6.315793695174028
TabNet,tabnet_regressor,S_N2,10000,5,527,10000,5.2700000000000005,3.5223571653084815
TabNet,tabnet_regressor,S_PO4,10000,5,390,10000,3.9,1.9016440255736609
TabNet,tabnet_regressor,S_I,10000,5,2,10000,0.02,0.027386127875258306
TabNet,tabnet_regressor,S_ALK,10000,5,0,10000,0.0,0.0
TabNet,tabnet_regressor,X_I,10000,5,0,10000,0.0,0.0
TabNet,tabnet_regressor,X_S,10000,5,215,10000,2.15,2.179449471770337
TabNet,tabnet_regressor,X_H,10000,5,0,10000,0.0,0.0
TabNet,tabnet_regressor,X_PAO,10000,5,3,10000,0.03,0.0670820393249937
TabNet,tabnet_regressor,X_PP,10000,5,310,10000,3.1,0.8573214099741122
TabNet,tabnet_regressor,X_PHA,10000,5,709,10000,7.090000000000001,3.8644857355151405
TabNet,tabnet_regressor,X_AOB,10000,5,2,10000,0.02,0.0447213595499958
TabNet,tabnet_regressor,X_NOB,10000,5,4,10000,0.04,0.06519202405202648
TabNet,tabnet_regressor,X_MeP,10000,5,36,10000,0.36,0.354259791678367
TabNet,tabnet_regressor,X_MeOH,10000,5,360,10000,3.6,3.093743686862246
