model,model_key,model_category,sample_size,prediction_type,nMSE_mean,nMSE_std,nRMSE_mean,nRMSE_std,nMAE_mean,nMAE_std,macro_R2_mean,macro_R2_std,fold_count
XGBoost,xgboost_regressor,Boosting,10000,raw,0.0645477278419511,0.0028894391578326,0.2540115588293254,0.0056850487077172,0.1244024262762631,0.0026207840922094,0.935148185210508,0.0033756286532749,5
LightGBM,lightgbm_regressor,Boosting,500,raw,0.193027127453625,0.0252333445595335,0.4385979588032985,0.02870013038309,0.2344888304912964,0.0068752587298927,0.8040101011343967,0.0084714522310295,5
LightGBM,lightgbm_regressor,Boosting,1450,raw,0.1267207362734688,0.0206687761091698,0.3550570713281994,0.0286184462652757,0.1770397599836094,0.0056036364002668,0.8710667584603774,0.0135166462217278,5
LightGBM,lightgbm_regressor,Boosting,2400,raw,0.1126117722578823,0.0193440315089528,0.3346403556272371,0.0280090307659543,0.159810185723037,0.0064002031764769,0.8820625705648535,0.0168294465356498,5
LightGBM,lightgbm_regressor,Boosting,3350,raw,0.0951151986659641,0.0147056399878199,0.3076730300220806,0.0237830102961155,0.147668583192129,0.0048564058937473,0.903418570768598,0.0111611458988698,5
LightGBM,lightgbm_regressor,Boosting,4300,raw,0.084580737036093,0.0057599674518417,0.2906904372238658,0.0099879141147468,0.1387976775517469,0.0023368883363709,0.9142235345889737,0.0073389317324116,5
LightGBM,lightgbm_regressor,Boosting,5250,raw,0.0760188338883305,0.0052172144606811,0.2755890031129976,0.0093230394396575,0.1333871989807744,0.0034193431696412,0.9231969611550764,0.006564616685564,5
LightGBM,lightgbm_regressor,Boosting,6200,raw,0.0721825284081462,0.0064899355551738,0.2684498866246463,0.0121030357431927,0.1288153349952861,0.0034289260885282,0.9279835336667984,0.0040772130562945,5
LightGBM,lightgbm_regressor,Boosting,7150,raw,0.0689322402852419,0.0041122473133432,0.2624570453954432,0.0077893844057258,0.1261242565522137,0.0029685628071623,0.9313616793664876,0.0030219057469246,5
LightGBM,lightgbm_regressor,Boosting,8100,raw,0.0651291100324532,0.0021830448072653,0.2551752612751415,0.0042860333667191,0.1238788490769263,0.0028739426735539,0.9347397136632636,0.0022530974334989,5
LightGBM,lightgbm_regressor,Boosting,9050,raw,0.0642476166800369,0.0020084983904215,0.253446585923544,0.0039441037854901,0.1219622501734909,0.0026177663836271,0.9353996105318249,0.0032673670981494,5
LightGBM,lightgbm_regressor,Boosting,10000,raw,0.0621051970465561,0.0039031716599014,0.2491121475270699,0.0077729499714936,0.1202531505335147,0.003453856953276,0.9375472314072166,0.0043841224017432,5
CatBoost,catboost_regressor,Boosting,500,raw,0.2437946486986587,0.0365340230030781,0.4926473941738297,0.0369660944717238,0.2670142668660571,0.0204875143543134,0.7663886138065933,0.0173279764190711,5
CatBoost,catboost_regressor,Boosting,1450,raw,0.1239848730581842,0.0181593741946665,0.3513948065361606,0.0251635400331122,0.1741486489130062,0.0062736599394084,0.8786711848368594,0.0063515275045628,5
CatBoost,catboost_regressor,Boosting,2400,raw,0.1023360610309259,0.0239397374946977,0.3183364813685969,0.0353190044591237,0.1538425254562748,0.0059508702760759,0.9000372727644684,0.005234790403056,5
CatBoost,catboost_regressor,Boosting,3350,raw,0.0834133675591705,0.0114305505421573,0.2882940325813526,0.0193622808945835,0.1423345553951605,0.0023772107934365,0.9172505169507016,0.0031610760704238,5
CatBoost,catboost_regressor,Boosting,4300,raw,0.0766678699104004,0.0073760306328756,0.2766263757344628,0.0134962105059262,0.13389262259464,0.0010418640349287,0.9236339153095456,0.0027226694244628,5
CatBoost,catboost_regressor,Boosting,5250,raw,0.0685936725409219,0.0044994898156608,0.2617915235666502,0.0085783688407222,0.1284857806938287,0.0021819586217803,0.9314014419645212,0.0041751027831896,5
CatBoost,catboost_regressor,Boosting,6200,raw,0.0657894698897475,0.0063766979708243,0.2562497770102946,0.0125260564385682,0.1236440501084055,0.0011741472736458,0.934448525302302,0.0039635713459054,5
CatBoost,catboost_regressor,Boosting,7150,raw,0.0611728499322245,0.0044049976153455,0.2472011384354761,0.0089754587925271,0.1202237854449708,0.0012553038394737,0.9393851414608771,0.0018928471171441,5
CatBoost,catboost_regressor,Boosting,8100,raw,0.0565668280721787,0.0021463466610769,0.2378030625997492,0.004545807183348,0.1172637622905978,0.0015522887635406,0.9435378966378044,0.0013830118092145,5
CatBoost,catboost_regressor,Boosting,9050,raw,0.0540670017144369,0.0032729449902431,0.2324391482923161,0.0069860625157907,0.1150230182591244,0.0014097645151129,0.9456703463336394,0.0037368892543896,5
CatBoost,catboost_regressor,Boosting,10000,raw,0.0530693228836645,0.0025450143301713,0.2303151741073203,0.0055049363732945,0.1129353196594121,0.0017137439270899,0.946873807673014,0.0020351630085612,5
AdaBoost,adaboost_regressor,Boosting,500,raw,0.3029193415354597,0.0339669753265887,0.5496724035628391,0.0312167882899375,0.3530434937988789,0.0151575129819768,0.6964018616089157,0.0118939057407356,5
AdaBoost,adaboost_regressor,Boosting,1450,raw,0.2752245802377538,0.0255790150309467,0.5241734648718134,0.0241546828283788,0.351429584054202,0.0050030971032862,0.7267567405405007,0.0094732707747236,5
AdaBoost,adaboost_regressor,Boosting,2400,raw,0.2802758390481776,0.0312123230672182,0.5287944446217624,0.028554211277399,0.3597484693830409,0.0084707528602009,0.71836415736659,0.0092358604721192,5
AdaBoost,adaboost_regressor,Boosting,3350,raw,0.276339840908778,0.0208965593335466,0.5253871497561503,0.0196272699288047,0.3630549046559526,0.0060914395059338,0.7225160080382673,0.0103205860045605,5
AdaBoost,adaboost_regressor,Boosting,4300,raw,0.2800454536022475,0.0154284993075046,0.5290336819307262,0.0145265698405889,0.364017524727577,0.0058412023795928,0.7174233022395506,0.0212752454783786,5
AdaBoost,adaboost_regressor,Boosting,5250,raw,0.2769728261394145,0.0052517933240862,0.5262632964204716,0.0049710386330949,0.3659357182333074,0.0061447923268759,0.722403743363686,0.0077408507181753,5
AdaBoost,adaboost_regressor,Boosting,6200,raw,0.2754582588314894,0.0075747247185986,0.5248017336599358,0.007193675956645,0.3665872606153506,0.006858487511947,0.7236938294708561,0.0061417871378657,5
AdaBoost,adaboost_regressor,Boosting,7150,raw,0.2754051924677153,0.0057613099527682,0.5247675183546912,0.0055050144838724,0.3668668849183368,0.0062026242131767,0.7237785085362572,0.0068980419507305,5
AdaBoost,adaboost_regressor,Boosting,8100,raw,0.2750621294804225,0.004425577763874,0.5244500782080476,0.0042197375503903,0.3675834414667002,0.0063651557852107,0.7237096633834029,0.007674840047189,5
AdaBoost,adaboost_regressor,Boosting,9050,raw,0.2758306689252268,0.0062823918997837,0.5251687061631289,0.0059685626590351,0.3676351738690552,0.0056104702617839,0.7235069982739885,0.0063797392228105,5
AdaBoost,adaboost_regressor,Boosting,10000,raw,0.2756760557703476,0.0044802714358573,0.5250348334195658,0.0042543310926073,0.368997993623922,0.0053056923378006,0.7238981386735274,0.0043634788317708,5
Random Forest,random_forest_regressor,Randomized tree ensembles,500,raw,0.6664522272079761,0.0710728743908312,0.8154189131636322,0.0439349414335677,0.5825770177125674,0.0220324752022983,0.3455147993291253,0.018833345378758,5
Random Forest,random_forest_regressor,Randomized tree ensembles,1450,raw,0.5888485650636928,0.0287425080040733,0.7671830221536025,0.0186673372149664,0.543014845324717,0.0086702145126474,0.4177952928253045,0.0075649156772717,5
