model_key,component,projected,raw,delta_component_nRMSE
multitask_elastic_net_regressor,S_I,1.4776507106925466e-13,0.0030508815333421197,-0.0030508815331943546
multitask_elastic_net_regressor,S_N2,0.6944713090966722,0.7186278868821158,-0.024156577785443556
multitask_elastic_net_regressor,S_NH4,0.44436400940126414,0.49451127593306576,-0.050147266531801626
multitask_elastic_net_regressor,S_NO2,0.8476209972641184,0.8575708504619932,-0.00994985319787478
multitask_elastic_net_regressor,S_NO3,0.4781109144479543,0.5439317898661957,-0.06582087541824144
multitask_elastic_net_regressor,S_O,0.4271609382709246,0.48582596123617766,-0.058665022965253055
multitask_elastic_net_regressor,S_PO4,0.48209491387163766,0.5026468032462208,-0.020551889374583132
multitask_elastic_net_regressor,X_AOB,0.3322419203063529,0.33506766561348766,-0.0028257453071347527
multitask_elastic_net_regressor,X_H,0.4713332845824798,0.42046578083697794,0.05086750374550186
multitask_elastic_net_regressor,X_I,0.04445675626854864,0.02896625012472992,0.015490506143818722
multitask_elastic_net_regressor,X_MeOH,0.5901979644327986,0.6342971116063773,-0.04409914717357866
multitask_elastic_net_regressor,X_MeP,0.35263077707332674,0.3790273635194666,-0.026396586446139847
multitask_elastic_net_regressor,X_NOB,0.243746588598,0.24553544913370656,-0.0017888605357065657
multitask_elastic_net_regressor,X_PAO,0.17515963915918614,0.1775971545355996,-0.002437515376413457
multitask_elastic_net_regressor,X_PHA,0.5786304179616328,0.5995037090106612,-0.020873291049028353
multitask_elastic_net_regressor,X_PP,0.5820396872212193,0.5884993841962377,-0.006459696975018359
multitask_elastic_net_regressor,X_S,0.5246718790932767,0.5718954710032078,-0.047223591909931084
multitask_lasso_regressor,S_A,0.7649065936164606,0.8045104372921463,-0.0396038436756857
multitask_lasso_regressor,S_ALK,0.01434075217413896,0.0167514198141047,-0.00241066763996574
multitask_lasso_regressor,S_F,0.9173530777948778,0.9205742685326304,-0.0032211907377525106
multitask_lasso_regressor,S_I,1.477684655197911e-13,0.0031097482116492596,-0.003109748211501491
multitask_lasso_regressor,S_N2,0.6944653049518149,0.7186267521690551,-0.02416144721724023
multitask_lasso_regressor,S_NH4,0.4443606806796646,0.4945026038342914,-0.05014192315462679
multitask_lasso_regressor,S_NO2,0.8476233569276767,0.8575683972600412,-0.009945040332364541
multitask_lasso_regressor,S_NO3,0.47810199100892514,0.5439325370903683,-0.06583054608144312
multitask_lasso_regressor,S_O,0.42717043876402166,0.48583107196968633,-0.05866063320566467
multitask_lasso_regressor,S_PO4,0.48209610362187466,0.50264275057404,-0.020546646952165293
multitask_lasso_regressor,X_AOB,0.332243635919968,0.33506695966110545,-0.0028233237411374734
multitask_lasso_regressor,X_H,0.4714272432962042,0.4204632660262422,0.050963977269962046
multitask_lasso_regressor,X_I,0.04448026834095956,0.02896435217954248,0.015515916161417082
multitask_lasso_regressor,X_MeOH,0.5901977063019328,0.6343027147143696,-0.04410500841243681
multitask_lasso_regressor,X_MeP,0.352630586171965,0.3790238886598533,-0.026393302487888293
multitask_lasso_regressor,X_NOB,0.24373997378854537,0.24552829834184253,-0.0017883245532971659
multitask_lasso_regressor,X_PAO,0.17516619634429892,0.1775945844931951,-0.0024283881488961767
multitask_lasso_regressor,X_PHA,0.578654143168292,0.5995066784352319,-0.020852535266939864
multitask_lasso_regressor,X_PP,0.5820400209686524,0.5884959541788948,-0.006455933210242404
multitask_lasso_regressor,X_S,0.5246765562516142,0.5718865331819194,-0.04720997693030515
pls_regressor,S_A,0.8039779626885183,0.8246329788505473,-0.020655016162029027
pls_regressor,S_ALK,0.014373145181247698,0.4493034289617728,-0.43493028378052506
pls_regressor,S_F,1.8330860285668833,0.9800582685700782,0.8530277599968051
pls_regressor,S_I,1.4999508373986522e-13,0.25991123408089034,-0.25991123408074035
pls_regressor,S_N2,0.7635617253274125,0.7854511385740273,-0.021889413246614753
pls_regressor,S_NH4,0.5165077606765107,0.6561783106334624,-0.13967054995695172
pls_regressor,S_NO2,0.8846683996213466,0.900245540522296,-0.015577140900949416
pls_regressor,S_NO3,0.4592235176381429,0.5998417524220716,-0.1406182347839287
pls_regressor,S_O,0.49047992176645716,0.5330706289204274,-0.042590707153970286
pls_regressor,S_PO4,0.5014365143073412,0.6374198743122661,-0.13598336000492495
pls_regressor,X_AOB,0.6465794622366506,0.6438591979851607,0.0027202642514899678
pls_regressor,X_H,0.9867076295910904,0.8586634006955925,0.12804422889549782
pls_regressor,X_I,0.5112125665782455,0.5164525947336099,-0.005240028155364396
