model,model_key,sample_size,projected,raw,delta_nRMSE
Multi-task Elastic Net,multitask_elastic_net_regressor,500,0.5278122638872176,0.5515032179087024,-0.0236909540214848
Multi-task Elastic Net,multitask_elastic_net_regressor,1450,0.520869213433382,0.5422566478028676,-0.021387434369485647
Multi-task Elastic Net,multitask_elastic_net_regressor,2400,0.5200551876263175,0.540967332794268,-0.02091214516795048
Multi-task Elastic Net,multitask_elastic_net_regressor,3350,0.5176642242752483,0.5381362460269489,-0.020472021751700598
Multi-task Elastic Net,multitask_elastic_net_regressor,4300,0.517428272368248,0.5380078680200375,-0.020579595651789573
Multi-task Elastic Net,multitask_elastic_net_regressor,5250,0.5170551557205438,0.5374558399531989,-0.020400684232655064
Multi-task Elastic Net,multitask_elastic_net_regressor,6200,0.5180429455323565,0.5382992592658831,-0.020256313733526543
Multi-task Elastic Net,multitask_elastic_net_regressor,7150,0.5167487830485766,0.5370255253686628,-0.02027674232008614
Multi-task Elastic Net,multitask_elastic_net_regressor,8100,0.5167435242848681,0.5369232290218557,-0.020179704736987603
Multi-task Elastic Net,multitask_elastic_net_regressor,9050,0.5161617224322935,0.5362538550933664,-0.020092132661072903
Multi-task Elastic Net,multitask_elastic_net_regressor,10000,0.51609347119638,0.5361093457040409,-0.020015874507660847
Multi-task Lasso,multitask_lasso_regressor,500,0.5277979987456624,0.5514868090335903,-0.02368881028792791
Multi-task Lasso,multitask_lasso_regressor,1450,0.5208698765194227,0.5422508805077356,-0.021381003988312886
Multi-task Lasso,multitask_lasso_regressor,2400,0.5200589763899612,0.5409632833635969,-0.020904306973635656
Multi-task Lasso,multitask_lasso_regressor,3350,0.5176701548026503,0.5381348782210781,-0.020464723418427755
Multi-task Lasso,multitask_lasso_regressor,4300,0.5174346887645963,0.5380062705730649,-0.02057158180846863
Multi-task Lasso,multitask_lasso_regressor,5250,0.5170611261584062,0.5374539248777845,-0.02039279871937838
Multi-task Lasso,multitask_lasso_regressor,6200,0.5180487789833879,0.5382964596630264,-0.020247680679638558
Multi-task Lasso,multitask_lasso_regressor,7150,0.5167544696463654,0.5370223742759433,-0.02026790462957795
Multi-task Lasso,multitask_lasso_regressor,8100,0.516749494837941,0.5369206469089912,-0.020171152071050247
Multi-task Lasso,multitask_lasso_regressor,9050,0.5161676962257055,0.5362513711330058,-0.020083674907300342
Multi-task Lasso,multitask_lasso_regressor,10000,0.5160998206296257,0.5361071320453383,-0.02000731141571266
PLS,pls_regressor,500,0.7024562118554958,0.7439150472321538,-0.041458835376658065
PLS,pls_regressor,1450,0.7285204463142207,0.7303652805825218,-0.0018448342683010654
PLS,pls_regressor,2400,0.7345949599976542,0.7314760452741538,0.0031189147235004544
PLS,pls_regressor,3350,0.7902143418478638,0.7292425352519335,0.06097180659593027
PLS,pls_regressor,4300,0.7821528729344535,0.7252784366696423,0.056874436264811146
PLS,pls_regressor,5250,0.7519578679875785,0.7255498836869851,0.026407984300593323
PLS,pls_regressor,6200,0.7639530504380652,0.7245688812020992,0.03938416923596599
PLS,pls_regressor,7150,0.757967729994858,0.7230807353342174,0.0348869946606406
PLS,pls_regressor,8100,0.7761277800300957,0.7213506995716791,0.05477708045841667
PLS,pls_regressor,9050,0.7513385839303646,0.720980745500859,0.030357838429505568
PLS,pls_regressor,10000,0.7450625105705455,0.7211414676567844,0.02392104291376107
Random Forest,random_forest_regressor,500,0.9764242698091958,0.8154189131636322,0.1610053566455636
Random Forest,random_forest_regressor,1450,0.8823302023684093,0.7671830221536025,0.11514718021480685
Random Forest,random_forest_regressor,2400,0.8651545452826352,0.7574602234531602,0.10769432182947503
Random Forest,random_forest_regressor,3350,0.8700440353133836,0.7455601512064376,0.124483884106946
Random Forest,random_forest_regressor,4300,0.8409425411046462,0.7396877985476238,0.10125474255702238
Random Forest,random_forest_regressor,5250,0.8364473804618321,0.7365247160041482,0.09992266445768394
Random Forest,random_forest_regressor,6200,0.8483017488398037,0.7326120242842803,0.1156897245555234
Random Forest,random_forest_regressor,7150,0.83977040655311,0.7278220463546086,0.1119483601985014
Random Forest,random_forest_regressor,8100,0.8326761584243748,0.7236184864141653,0.10905767201020955
Random Forest,random_forest_regressor,9050,0.8225050806249478,0.7208035969557,0.1017014836692478
Random Forest,random_forest_regressor,10000,0.8131777688776914,0.718432489967141,0.0947452789105504
SVR,svr_regressor,500,0.4981484281438527,0.5110344011435466,-0.012885972999693907
SVR,svr_regressor,1450,0.4647773649493946,0.4527345812745554,0.012042783674839186
SVR,svr_regressor,2400,0.445526889197268,0.4346983435436549,0.01082854565361313
SVR,svr_regressor,3350,0.4406841505050134,0.4146148620923227,0.02606928841269074
SVR,svr_regressor,4300,0.4092043510287525,0.4027395948880029,0.006464756140749595
SVR,svr_regressor,5250,0.3827283831059423,0.3924418896579951,-0.009713506552052775
SVR,svr_regressor,6200,0.3773176574472512,0.3851874611468706,-0.007869803699619371
SVR,svr_regressor,7150,0.3680448372828409,0.3772051023240599,-0.009160265041219029
SVR,svr_regressor,8100,0.3620082033786567,0.3708831271357321,-0.008874923757075437
SVR,svr_regressor,9050,0.3608768569336925,0.3678182829516384,-0.006941426017945895
SVR,svr_regressor,10000,0.3560719660436198,0.3642614546330732,-0.008189488589453398
TabNet,tabnet_regressor,500,1.0281611301925573,0.9380570313284992,0.09010409886405812
TabNet,tabnet_regressor,1450,0.7543983329261432,0.6517198499739661,0.10267848295217707
TabNet,tabnet_regressor,2400,0.5336793754898189,0.5196361149679406,0.01404326052187832
TabNet,tabnet_regressor,3350,0.4506524331805771,0.4291401227302071,0.021512310450370054
TabNet,tabnet_regressor,4300,0.3711820446463619,0.381301828824742,-0.010119784178380109
TabNet,tabnet_regressor,5250,0.3636423299251919,0.3683400881174953,-0.004697758192303392
TabNet,tabnet_regressor,6200,0.3279062550595205,0.3291297674104279,-0.0012235123509073964
TabNet,tabnet_regressor,7150,0.3592446542615794,0.3246658182915486,0.03457883597003081
TabNet,tabnet_regressor,8100,0.3062678621862507,0.3133606079890256,-0.0070927458027749135
TabNet,tabnet_regressor,9050,0.3168438647547142,0.2981496100047193,0.01869425474999492
TabNet,tabnet_regressor,10000,0.2747692530243613,0.2715898854751516,0.0031793675492096662
XGBoost,xgboost_regressor,500,0.4409031012288465,0.4352706507576617,0.0056324504711848244
XGBoost,xgboost_regressor,1450,0.3856466464334631,0.3565856782215789,0.029060968211884197
XGBoost,xgboost_regressor,2400,0.3559519029867376,0.338198505811471,0.01775339717526664
XGBoost,xgboost_regressor,3350,0.3319078582423688,0.3147141690472906,0.017193689195078188
XGBoost,xgboost_regressor,4300,0.2995126124242425,0.2978713480046792,0.0016412644195633042
XGBoost,xgboost_regressor,5250,0.2880571451346341,0.2836544819321337,0.004402663202500379
XGBoost,xgboost_regressor,6200,0.2755926055789987,0.2747543340717093,0.0008382715072893787
XGBoost,xgboost_regressor,7150,0.2696623179700816,0.2689921657421866,0.0006701522278950156
XGBoost,xgboost_regressor,8100,0.2626405783816706,0.2619936595441791,0.0006469188374915169
XGBoost,xgboost_regressor,9050,0.2587471389541849,0.2581403446296778,0.0006067943245071095
XGBoost,xgboost_regressor,10000,0.2545850895068832,0.2540115588293254,0.0005735306775577764
k-NN,knn_regressor,500,0.77056366337753,0.747295722124871,0.023267941252658964
k-NN,knn_regressor,1450,0.7020225630493088,0.6894901481072038,0.012532414942104997
k-NN,knn_regressor,2400,0.6813010787370137,0.6645573741613672,0.016743704575646556
k-NN,knn_regressor,3350,0.6640786420220289,0.647423789920748,0.016654852101280926
k-NN,knn_regressor,4300,0.6456430362411605,0.6388333885874091,0.006809647653751361
k-NN,knn_regressor,5250,0.6458253980228665,0.6322270964548297,0.013598301568036875
k-NN,knn_regressor,6200,0.6421020258187775,0.626663591231831,0.015438434586946492
k-NN,knn_regressor,7150,0.6304585899644976,0.6190784599779798,0.011380129986517717
k-NN,knn_regressor,8100,0.6315268905621064,0.6147039747995917,0.016822915762514712
k-NN,knn_regressor,9050,0.6278701589605098,0.6121881159783197,0.015682042982190114
k-NN,knn_regressor,10000,0.6210342516692499,0.6068283952007949,0.014205856468454958
