regime,model_key,component,projected,raw,delta_component_nRMSE
mild,multitask_lasso_regressor,X_S,0.7106299588939045,0.920884483379884,-0.2102545244859796
mild,pls_regressor,S_A,0.5861227303875581,0.7888040554298634,-0.2026813250423053
mild,pls_regressor,S_ALK,0.0175917324299679,0.4556369512952385,-0.4380452188652706
mild,pls_regressor,S_F,2.1075886687686083,1.7818572246156663,0.325731444152942
mild,pls_regressor,S_I,2.077825231974586e-13,0.1736236829202856,-0.17362368292007782
mild,pls_regressor,S_N2,0.8934503682977869,0.9649595717671116,-0.07150920346932466
mild,pls_regressor,S_NH4,0.6186900203510779,0.937194952391408,-0.31850493204033015
mild,pls_regressor,S_NO2,1.1455466008236712,1.176286920052973,-0.03074031922930187
mild,pls_regressor,S_NO3,0.6230377018638802,0.9734953624280752,-0.35045766056419503
mild,pls_regressor,S_O,0.6069686208755005,0.6588280091202757,-0.051859388244775206
mild,pls_regressor,S_PO4,0.5648053896264673,0.7080665232904908,-0.1432611336640235
mild,pls_regressor,X_AOB,0.7638876231682227,0.762760339233629,0.0011272839345937147
mild,pls_regressor,X_H,0.9860618968318634,1.0345139252864917,-0.04845202845462826
mild,pls_regressor,X_I,0.5627954996730024,0.5564283645286165,0.006367135144385805
mild,pls_regressor,X_MeOH,0.656362844749628,0.9021844654211364,-0.24582162067150837
mild,pls_regressor,X_MeP,0.3922500699597462,0.8238584723219174,-0.43160840236217124
mild,pls_regressor,X_NOB,0.922250586014018,0.9310399117450828,-0.008789325731064834
mild,pls_regressor,X_PAO,0.6544149558665011,0.6437795698578179,0.01063538600868319
mild,pls_regressor,X_PHA,0.769589128539712,0.8647166690850886,-0.09512754054537664
mild,pls_regressor,X_PP,0.7246609437568318,0.8478189653286163,-0.12315802157178457
mild,pls_regressor,X_S,0.9760113279017918,1.0858530437792322,-0.1098417158774404
mild,random_forest_regressor,S_A,0.4431893650916037,0.442533583539885,0.0006557815517187482
mild,random_forest_regressor,S_ALK,0.0248696860026883,0.1935624896549951,-0.1686928036523068
mild,random_forest_regressor,S_F,2.2710372731460904,1.6792774880028711,0.5917597851432193
mild,random_forest_regressor,S_I,1.7512327649397728e-13,0.4326558079803372,-0.43265580798016207
mild,random_forest_regressor,S_N2,0.942406106869198,1.0467462575062807,-0.10434015063708268
mild,random_forest_regressor,S_NH4,0.7281426150788094,1.0129295327645191,-0.28478691768570974
mild,random_forest_regressor,S_NO2,1.1810340039095095,1.2209159473541902,-0.039881943444680656
mild,random_forest_regressor,S_NO3,0.9870416515051414,1.1736940389325388,-0.18665238742739731
mild,random_forest_regressor,S_O,1.1912769916641588,1.1869908689370865,0.004286122727072295
mild,random_forest_regressor,S_PO4,0.5503470616878787,0.8345348543391237,-0.28418779265124494
mild,random_forest_regressor,X_AOB,1.005983482553454,1.020119881872578,-0.014136399319124138
mild,random_forest_regressor,X_H,1.9633845321056025,0.5209004039685325,1.44248412813707
mild,random_forest_regressor,X_I,0.3750413912036328,0.3545745748242099,0.02046681637942288
mild,random_forest_regressor,X_MeOH,0.9094101003943162,1.021105619518913,-0.11169551912459674
mild,random_forest_regressor,X_MeP,0.5434740530421394,0.9400718353603392,-0.39659778231819987
mild,random_forest_regressor,X_NOB,0.9747707606168262,0.9816774790761276,-0.006906718459301353
mild,random_forest_regressor,X_PAO,0.575140893110309,0.582646766135103,-0.007505873024793996
mild,random_forest_regressor,X_PHA,0.7533168219862185,0.7557056822731038,-0.0023888602868852304
mild,random_forest_regressor,X_PP,0.7308193990978222,0.7250118850122973,0.005807514085524934
mild,random_forest_regressor,X_S,0.668454986067729,0.6202405379660509,0.048214448101678076
mild,svr_regressor,S_A,0.3925643968167375,0.4345621117979118,-0.04199771498117433
mild,svr_regressor,S_ALK,0.0119116607430059,0.1232109031200312,-0.1112992423770253
mild,svr_regressor,S_F,1.6550244926309146,1.6520316979945595,0.002992794636355045
mild,svr_regressor,S_I,1.991031877818858e-13,0.1206890660290647,-0.1206890660288656
mild,svr_regressor,S_N2,0.6347681739505286,0.7036859521842653,-0.06891777823373668
mild,svr_regressor,S_NH4,0.3576234972953679,0.3858617821119184,-0.028238284816550496
mild,svr_regressor,S_NO2,0.8003003590496969,0.9631055404896752,-0.16280518143997835
mild,svr_regressor,S_NO3,0.4294466290867036,0.4643712361189068,-0.03492460703220318
mild,svr_regressor,S_O,0.2680308371933213,0.2666683192230138,0.0013625179703075085
mild,svr_regressor,S_PO4,0.3740918032791613,0.3799433289037257,-0.005851525624564369
mild,svr_regressor,X_AOB,0.2892459359264391,0.2842233070552653,0.005022628871173829
mild,svr_regressor,X_H,0.4983317362211937,0.2792236540262318,0.21910808219496192
mild,svr_regressor,X_I,0.1479019671632709,0.1315383295108523,0.016363637652418606
mild,svr_regressor,X_MeOH,0.4121912119607038,0.4439362214365605,-0.03174500947585668
mild,svr_regressor,X_MeP,0.2463302623268112,0.284011968954955,-0.037681706628143796
mild,svr_regressor,X_NOB,0.2940594309199936,0.2922786549157972,0.001780776004196405
mild,svr_regressor,X_PAO,0.2049824299446098,0.2008400893140231,0.004142340630586688
mild,svr_regressor,X_PHA,0.51997327683824,0.5256675093848074,-0.005694232546567424
mild,svr_regressor,X_PP,0.4475510678723384,0.4535964052850051,-0.006045337412666718
mild,svr_regressor,X_S,0.3861003800277866,0.3825787148557389,0.0035216651720477166
mild,tabnet_regressor,S_A,0.3432401165138882,0.3435139252255157,-0.0002738087116275212
mild,tabnet_regressor,S_ALK,0.0050386062622751,0.1719276679117891,-0.166889061649514
mild,tabnet_regressor,S_F,0.6887320169148087,0.6960389072076641,-0.007306890292855472
mild,tabnet_regressor,S_I,2.0823344039452577e-13,0.1629515378446103,-0.16295153784440208
mild,tabnet_regressor,S_N2,0.3288946495301056,0.3392317595859321,-0.010337110055826493
mild,tabnet_regressor,S_NH4,0.1643355319032794,0.1919915062121217,-0.027655974308842285
mild,tabnet_regressor,S_NO2,0.4843957900306278,0.4708393586516881,0.013556431378939748
mild,tabnet_regressor,S_NO3,0.2178468233578127,0.3295772102449856,-0.1117303868871729
mild,tabnet_regressor,S_O,0.356213219740954,0.3600197232826393,-0.0038065035416853243
mild,tabnet_regressor,S_PO4,0.3075302469904808,0.3529126145035957,-0.04538236751311486
mild,tabnet_regressor,X_AOB,0.2072493600249607,0.2082540441377713,-0.0010046841128105999
mild,tabnet_regressor,X_H,0.5311207503970358,0.2446062027178214,0.28651454767921436
mild,tabnet_regressor,X_I,0.2256719389544335,0.2215307333193028,0.004141205635130679
mild,tabnet_regressor,X_MeOH,0.3655303891021381,0.4168551158263563,-0.05132472672421823
mild,tabnet_regressor,X_MeP,0.2184452118895554,0.312559719749603,-0.0941145078600476
mild,tabnet_regressor,X_NOB,0.2162539445314905,0.2167465219800648,-0.0004925774485743106
mild,tabnet_regressor,X_PAO,0.2600791094740337,0.2528421366240973,0.007236972849936352
mild,tabnet_regressor,X_PHA,0.3749584484340033,0.398565909848,-0.023607461413996722
mild,tabnet_regressor,X_PP,0.3633879264743985,0.3577842371218367,0.00560368935256178
mild,tabnet_regressor,X_S,0.2119117879253262,0.2130025172946486,-0.0010907293693224185
mild,xgboost_regressor,S_A,0.262156601499825,0.2622954150778426,-0.00013881357801759364
mild,xgboost_regressor,S_ALK,0.0096086883641974,0.0203921693891447,-0.0107834810249473
mild,xgboost_regressor,S_F,1.1027580488547508,1.1027580404337671,8.420983688139927e-09
mild,xgboost_regressor,S_I,2.0458525552155241e-13,0.0169655642364445,-0.016965564236239912
mild,xgboost_regressor,S_N2,0.557664583375201,0.5986226700698675,-0.040958086694666496
mild,xgboost_regressor,S_NH4,0.2732630110554893,0.3718202307713803,-0.09855721971589104
mild,xgboost_regressor,S_NO2,0.731420291627348,0.7648698401352705,-0.03344954850792248
mild,xgboost_regressor,S_NO3,0.4287154113990462,0.4608868497956905,-0.032171438396644325
mild,xgboost_regressor,S_O,0.3888047439948874,0.3888089988228097,-4.254827922323123e-06
mild,xgboost_regressor,S_PO4,0.277071597015652,0.3081405574484853,-0.031068960432833304
mild,xgboost_regressor,X_AOB,0.2410459788042156,0.2443134993013568,-0.0032675204971411853
mild,xgboost_regressor,X_H,0.4502562367721666,0.2570642457383879,0.1931919910337787
mild,xgboost_regressor,X_I,0.0787582230426032,0.0640018826012534,0.014756340441349797
mild,xgboost_regressor,X_MeOH,0.3622756405260037,0.3648144286994328,-0.0025387881734291184
mild,xgboost_regressor,X_MeP,0.2165001362859492,0.2416543865135269,-0.025154250227577696
mild,xgboost_regressor,X_NOB,0.2147206924438809,0.2154814908529686,-0.0007607984090877151
mild,xgboost_regressor,X_PAO,0.1481612128769685,0.1421219889802435,0.00603922389672501
mild,xgboost_regressor,X_PHA,0.3734026073652674,0.3742157320333154,-0.0008131246680479487
mild,xgboost_regressor,X_PP,0.351087315668749,0.3306029886982649,0.020484326970484135
mild,xgboost_regressor,X_S,0.3731090728907853,0.3731090728966642,-5.878852959995129e-12
severe,adaboost_regressor,S_A,0.5685115374561487,0.5450108238087972,0.023500713647351512
severe,adaboost_regressor,S_ALK,0.0258703574972064,0.0920145905800489,-0.06614423308284251
severe,adaboost_regressor,S_F,3.6888721591862574,3.049504869578854,0.6393672896074034
