model_key,component,outer_fold,nRMSE_component_projected,nRMSE_component_raw,R2_projected,R2_raw,delta
adaboost_regressor,X_NOB,1,0.3141367252066215,0.3171204910741629,0.9004681839788385,0.8985684377043772,-0.002983765867541399
adaboost_regressor,X_NOB,2,0.3134562526655773,0.3159495466383626,0.90329102303298,0.9017464190806084,-0.0024932939727853043
adaboost_regressor,X_NOB,3,0.3059648414489871,0.3086055009687566,0.9073764042097098,0.9057707109118768,-0.002640659519769495
adaboost_regressor,X_NOB,4,0.3104189260362083,0.3136522320902074,0.9024103283386852,0.9003667636018895,-0.0032333060539990743
adaboost_regressor,X_PAO,0,0.2417958869191405,0.2227317831852644,0.9423492741775124,0.9510817007445282,0.019064103733876098
adaboost_regressor,X_PAO,1,0.2364808088319442,0.2193737854960502,0.9434152244257672,0.9513057980688538,0.017107023335894006
adaboost_regressor,X_PAO,2,0.2416532414513846,0.2212482927733781,0.9438809134988752,0.9529580626170197,0.02040494867800649
adaboost_regressor,X_PAO,3,0.2370809371028096,0.2196693339542638,0.9434261884550732,0.95143079045025,0.017411603148545812
adaboost_regressor,X_PAO,4,0.2371454335966525,0.2187056346389777,0.9416239672549528,0.9503493442937756,0.018439798957674808
adaboost_regressor,X_PHA,0,0.6604490452592768,0.6597961741015657,0.5708021910987066,0.5716503182161796,0.0006528711577111768
adaboost_regressor,X_PHA,1,0.6552063357828624,0.6552785039774747,0.5829114211305448,0.5828195349999957,-7.216819461230983e-05
adaboost_regressor,X_PHA,2,0.6913273221202194,0.6902264773631037,0.5192692729594981,0.5207990506382443,0.0011008447571156932
adaboost_regressor,X_PHA,3,0.6642384884621643,0.6641241875207815,0.5709326898065037,0.5710803433337417,0.00011430094138276115
adaboost_regressor,X_PHA,4,0.6269594519627489,0.6261496475945866,0.5782088593716914,0.5792977582337748,0.000809804368162359
adaboost_regressor,X_PP,0,0.6296084156915198,0.6119260950678411,0.5830175409397402,0.6061102452429497,0.017682320623678693
